"cls_id" "cls_date" "send_col" "receive_col" "time_estimate_col" "type_col" "time_col" "private_col" "social_col" "public_task_col" "private_task_col" "public_social_col" "private_social_col" "question_col" "answer_col" "teach_talk_col" "to_all_col" "from_all_col" "hand_col" "sanction_col" "praise_col" "right_col" "wrong_col" "cheat_col" "joke_col"
182 "4/7/97" 12 1 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 12 2 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 12 3 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 12 4 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 12 5 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 12 6 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 12 7 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 12 8 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 12 9 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 12 10 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 12 11 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 12 15 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 12 14 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 12 13 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 12 16 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 12 17 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 12 18 0.25 3 5 "0" 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
182 "4/7/97" 11 3 0.417 3 5 "1" 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
