"ids" "sem_id" "cls_id" "expected_grade" "like_subject" "had_teacher_before" "like_teacher" "course_challenging"
113214 1 237 4 4 0 3 1
115909 1 237 4 3 0 4 3
121470 1 237 3 2 0 3 3
122706 1 237 4 3 0 3 3
122710 1 237 4 2 0 4 2
122714 1 237 4 3 0 3 3
122723 1 237 4 2 0 2 3
122724 1 237 3 2 0 3 4
122726 1 237 4 3 0 3 2
122728 1 237 4 2 0 3 2
122732 1 237 4 3 0 3 2
122734 1 237 4 3 0 3 2
125522 1 237 4 3 0 3 4
125567 1 237 4 4 0 4 2
126359 1 237 4 4 0 4 3
127535 1 237 4 3 0 3 2
128033 1 237 4 3 0 3 1
129483 1 237 3 2 0 3 3
138473 1 237 4 2 0 4 3
139163 1 237 4 1 0 2 3
140271 1 237 4 4 0 4 2
141006 1 237 4 3 0 3 2
144882 1 237 3 2 0 2 2
149552 1 237 4 3 0 4 3
151812 1 237 4 2 0 2 4
